"Origin","Symbol","Indicator","Reference","Frequency"
"BIS","HOUSE_PRICE_R_2010","Residential property prices, Real, Index, 2010 = 100","BIS Statistics","Q"
"BIS","REER_BIS","Broad Real Effective Exchange Rates (measure of competitiveness - NEER as geometric trade-weighted averages of bil exch rates)","BIS Statistics","Q"
"EMDAT","DIS_BIO_AFF","Biological Disaster (Epidemic, Infestation, Animal incident) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged) ","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_BIO_DEATH","Biological Disaster (Epidemic, Infestation, Animal incident) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_BIO_DMG","Biological Disaster (Epidemic, Infestation, Animal incident) - Value of all economic losses due to the disaster (thousands of current US dollars) ","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_CLIM_AFF","Climatological Disaster (Drought, Wildfire, Glacial lake outburst flood) -  Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_CLIM_DEATH","Climatological Disaster (Drought, Wildfire, Glacial lake outburst flood) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_CLIM_DMG","Climatological Disaster (Drought, Wildfire, Glacial lake outburst flood) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_EXT_AFF","Extra-terrestrial Disaster - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged) ","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_EXT_DMG","Extra-terrestrial Disaster - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_GEO_AFF","Geophysical Disaster (Volcanic activity, Earthquake, Mass movement (dry)) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged) ","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_GEO_DEATH","Geophysical Disaster (Volcanic activity, Earthquake, Mass movement (dry)) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_GEO_DMG","Geophysical Disaster (Volcanic activity, Earthquake, Mass movement (dry)) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_HYDRO_AFF","Hydrological Disaster (Flood, Mass movement (wet)) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged) ","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_HYDRO_DEATH","Hydrological Disaster (Flood, Mass movement (wet)) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_HYDRO_DMG","Hydrological Disaster (Flood, Mass movement (wet)) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_IND_AFF","Industrial Accident (fire, explosion, gas leak, collapse, chemical or oil spill, etc) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)  ","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_IND_DEATH","Industrial Accident (fire, explosion, gas leak, collapse, chemical or oil spill, etc) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_IND_DMG","Industrial Accident (fire, explosion, gas leak, collapse, chemical or oil spill, etc) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_MET_AFF","Meteorological Disaster (storm, extreme temperature, fog) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_MET_DEATH","Meteorological Disaster (storm, extreme temperature, fog) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_MET_DMG","Meteorological Disaster (storm, extreme temperature, fog) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_MISC_AFF","Miscellaneous Disaster (fire, explosion, collapse, etc.) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_MISC_DEATH","Miscellaneous Disaster (fire, explosion, collapse, etc.) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_MISC_DMG","Miscellaneous Disaster (fire, explosion, collapse, etc.) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_NAT_AFF","All Natural Disaster (Bio, Clim, Geo, Hydro, Meteo & Extra) - Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_NAT_DEATH","All Natural Disaster (Bio, Clim, Geo, Hydro, Meteo & Extra) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_NAT_DMG","All Natural Disaster (Bio, Clim, Geo, Hydro, Meteo & Extra) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_TECH_AFF","All Technological Disaster (Industrial and Miscellaneous accident, Transport) -  Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_TECH_DEATH","All Technological Disaster (Industrial and Miscellaneous accident, Transport) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_TECH_DMG","All Technological Disaster (Industrial and Miscellaneous accident, Transport) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_TRANS_AFF","Transport Disaster (Water, Rail, Air, Road) -  Number of affected people (with physical injuries, trauma, or illness, requiring assistance, or requiring shelter due to their house being damaged)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_TRANS_DEATH","Transport Disaster (Water, Rail, Air, Road) - fatalities (deceased and missing combined)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"EMDAT","DIS_TRANS_DMG","Transport Disaster (Water, Rail, Air, Road) - Value of all economic losses due to the disaster (thousands of current US dollars)","EM-DAT (Emergency Events Database) - CRED (UCLouvain)","Q"
"IMF BOP","BP_C","Overall Balance of Payments (Should be 0)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","BP_R_2023","Overall Balance of Payments (Should be 0)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CA_C","Capital Account Balance (Excl. Reserves)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CA_R_2023","Capital Account Balance (Excl. Reserves)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CAi_C","Capital Account Inflow (Excl. Reserves)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CAi_R_2023","Capital Account Inflow (Excl. Reserves)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CAo_C","Capital Account Outflow","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CAo_R_2023","Capital Account Outflow(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CU_C","Current Account Balance","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","CU_R_2023","Current Account Balance(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","DER_C","Net Financial Derivatives and Stock Options","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","DER_R_2023","Net Financial Derivatives and Stock Options(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","EO_C","Errors and Omissions","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","EO_R_2023","Errors and Omissions(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","ExF_C","Exceptional Financing","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","ExF_R_2023","Exceptional Financing(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","EXg_C","Exports of Goods","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","EXg_R_2023","Exports of Goods(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","EXs_C","Exports of Services","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","EXs_R_2023","Exports of Services(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","FA_C","Financial Account Balance (Excl. Excep. Financing)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","FA_R_2023","Financial Account Balance (Excl. Excep. Financing)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","FER_C","Change in Foreign Exchange Reserves","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","FER_R_2023","Change in Foreign Exchange Reserves(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","GBT_C","Goods Trade Balance","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","GBT_R_2023","Goods Trade Balance(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","GSI_C","Goods, Services, and Primary Income Balance","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","GSI_R_2023","Goods, Services, and Primary Income Balance(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iDER_C","Financial Derivatives and Stock Options Liabilities","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iDER_R_2023","Financial Derivatives and Stock Options Liabilities(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iDID_C","Inward Direct Investment (Debt)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iDID_R_2023","Inward Direct Investment (Debt)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iDIE_C","Inward Direct Investment (Equity & Funds)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iDIE_R_2023","Inward Direct Investment (Equity & Funds)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iFDI_C","Inward FDI","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iFDI_R_2023","Inward FDI(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","imfCL_C","Net IMF Credit and Loans","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","imfCL_R_2023","Net IMF Credit and Loans(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","imfRE_C","Change in IMF Reserve Assets","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","imfRE_R_2023","Change in IMF Reserve Assets(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","IMg_C","Imports of Goods","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","IMg_R_2023","Imports of Goods(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","IMs_C","Imports of Services","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","IMs_R_2023","Imports of Services(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iOI_C","Other Investments Incurred","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iOI_R_2023","Other Investments Incurred(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iOID_C","Other Debt Instruments Incurred","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iOID_R_2023","Other Debt Instruments Incurred(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iOIE_C","Other Equity Incurred","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iOIE_R_2023","Other Equity Incurred(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iPOR_C","Inward Portfolio Investments (Incurred)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iPOR_R_2023","Inward Portfolio Investments (Incurred)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iPORD_C","Debt Securities Incurred","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iPORD_R_2023","Debt Securities Incurred(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iPORE_C","Equity and Investment Funds Incurred","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","iPORE_R_2023","Equity and Investment Funds Incurred(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oDER_C","Financial Derivatives and Stock Options Assets","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oDER_R_2023","Financial Derivatives and Stock Options Assets(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oDID_C","Outward Direct Investment (Debt)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oDID_R_2023","Outward Direct Investment (Debt)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oDIE_C","Outward Direct Investment (Equity & Funds)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oDIE_R_2023","Outward Direct Investment (Equity & Funds)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oFDI_C","Outward FDI","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oFDI_R_2023","Outward FDI(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oOI_C","Other Investments Acquired","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oOI_R_2023","Other Investments Acquired(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oOID_C","Other Debt Instruments Acquired","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oOID_R_2023","Other Debt Instruments Acquired(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oOIE_C","Other Equity Acquired","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oOIE_R_2023","Other Equity Acquired(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oPOR_C","Outward Portfolio Investments (Acquired)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oPOR_R_2023","Outward Portfolio Investments (Acquired)(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oPORD_C","Debt Securities Acquired","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oPORD_R_2023","Debt Securities Acquired(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oPORE_C","Equity and Investment Funds Acquired","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","oPORE_R_2023","Equity and Investment Funds Acquired(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","PIi_C","Primary Income Received","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","PIi_R_2023","Primary Income Received(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","PIo_C","Primary Income Payments","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","PIo_R_2023","Primary Income Payments(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","SIi_C","Secondary Income Received","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","SIi_R_2023","Secondary Income Received(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","SIo_C","Secondary Income Payments","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","SIo_R_2023","Secondary Income Payments(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","TB_C","Trade Balance","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","TB_R_2023","Trade Balance(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","TCC_C","Current and Capital Account Balance","IMF's Balance of Payments and International Investment Position","Q"
"IMF BOP","TCC_R_2023","Current and Capital Account Balance(constant 2023 USD)","IMF's Balance of Payments and International Investment Position","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:1990=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:1985=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:1995=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:2005=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:1970=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_IX","Economic Activity, Industrial Production, Index (base year:2000=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_PC_CP_A_PT","Economic Activity, Industrial Production, Percentage change, Corresponding period previous year, Percent","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIP_SA_IX","Industrial Production, Seasonally adjusted, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPCO_IX","Economic Activity, Industrial Production, Construction, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPEE_IX","Economic Activity, Industrial Production, Energy, Electricity Production, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPEE_IX","Economic Activity, Industrial Production, Energy, Electricity Production, Index (base year:2005=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPMA_IX","Economic Activity, Industrial Production, Manufacturing, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPMA_IX","Economic Activity, Industrial Production, Manufacturing, Index (base year:2005=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPMI_IX","Economic Activity, Industrial Production, Mining, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPMI_IX","Economic Activity, Industrial Production, Mining, Index (base year:1975=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPMI_IX","Economic Activity, Industrial Production, Mining, Index (base year:1990=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AIPMI_IX","Economic Activity, Industrial Production, Mining, Index (base year:1985=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","AOTN_NUM","Indicators of Economic Activity, Other Indicators. Tourism, Number of Tourist Nights, Number","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","ENDE_XDC_USD_RATE","Exchange Rates, Domestic Currency per U.S. Dollar, End of Period, Rate","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","ENEER_IX","Exchange Rates, Nominal Effective Exchange Rate, Index","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","ENEER_ULC_IX","Exchange Rates, Nominal Effective Exchange Rate based on Unit Labor Costs, Index","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","EREER_IX","Exchange Rates, Real Effective Exchange Rate based on Consumer Price Index, Index","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","EREER_ULC_IX","Exchange Rates, Real Effective Exchange Rate based on Unit Labor Costs, Index","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FIACF_PA","Financial, Interest Rates, Average Cost of Funds, Percent per Annum","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FIGB_PA","Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FIGBY_SM_PA","Financial, Interest Rates, Government Bond Yields, Short- to Medium-Term, Percent per Annum","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FILR_PA","Financial, Interest Rates, Lending Rate, Percent per annum","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FITB_PA","Financial, Interest Rates, Government Securities, Treasury Bills, Percent per annum","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FPE_IX","Financial Market Prices, Equities, Index","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","FPOLM_PA","Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LE_IX","Labor Markets, Employment, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LUR_PT","Labor Markets, Unemployment Rate, Percent","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LWR_IX","Labor Markets, Wage Rates, Index (base year:2010=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LWR_IX","Labor Markets, Wage Rates, Index (base year:2005=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LWR_IX","Labor Markets, Wage Rates, Index (base year:1960=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LWR_IX","Labor Markets, Wage Rates, Index (base year:1990=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","LWR_IX","Labor Markets, Wage Rates, Index (base year:1965=100)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NFI_SA_XDC","Gross Fixed Capital Formation, Nominal, Seasonally Adjusted, Domestic Currency","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NFID_SA_XDC","Gross Fixed Capital Formation, Dwellings, Nominal, Seasonally Adjusted, Domestic Currency","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NFIOS_SA_XDC","Gross Fixed Capital Formation, Other Buildings and Structures, Nominal, Seasonally Adjusted, Domestic Currency","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NFIOT_SA_XDC","Gross Fixed Capital Formation, Machinery and Equipment and Weapon System, Nominal, Seasonally Adjusted, Domestic Currency","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2010)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2018)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2022)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2000)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2007)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2016)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2005)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2012)","IMF's International Financial Statistics (IFS)","Q"
"IMF IFS","NGDP_R_SA_XDC","Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency (base year:2015)","IMF's International Financial Statistics (IFS)","Q"
