"Origin","Symbol","Indicator","Reference","Frequency"
"BoC-BoE","WLD_DEFRATE_CHN"," Default Rates, % of China Bilateral Offical Loans (%)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFRATE_EME","Defaulted emerging-market public debt as a share of emerging-market GDP (excluding China) (%)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFRATE_GDP","Defaulted global public debt as a share of world GDP   (%)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFRATE_PARIS","Default Rates, % of Paris Club Loans (%)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_DEFRATE_PUBL","Defaulted global public debt as a share of global public debt (%)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"BoC-BoE","WLD_SOV_COUNT","Number of Sovereign states in the dataset (Count)","BoC–BoE Sovereign Default Database (Beers, Ndukwe and Charron, 2024)","Y"
"FOR500","FORT_500","Number of firms in Fortune Global 500, annual ranking of the largest 500 corporations worldwide as measured by total revenue","Global Fortune 500","Y"
"JST","BDEBT_JST","Corporate debt (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","BILL_RATE_JST","Bill rate, nominal. r[t] = coupon[t] / p[t-1]","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","BOND_RATE_JST","Gov. bond rate, rate[t] = coupon[t] / p[t-1], or yield to maturity at t","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","BOND_TR_JST","Government bond total return, nominal. r[t] = [[p[t] + coupon[t]] / p[t-1] ] - 1","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","CA_JST","Current account (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","CAPITAL_TR_JST","Tot. rtn. on wealth, nominal. Wtd. avg. of housing, equity, bonds and bills","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","CPI_JST","Consumer prices (index, 1990=100)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","CRISIS_JST","Systemic financial crises (0-1 dummy)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","DEBTGDP_JST","Public debt-to-GDP ratio","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","EQ_CAPGAIN_INTERP_JST","1 if equity cap. gain interpolated to cover exchange closure","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EQ_CAPGAIN_JST","Equity capital gain, nominal. cg[t] = [ p[t] / p[t-1] ] - 1","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EQ_DIV_RTN_JST","Equity dividend return. dp_rtn[t] = dividend[t]/p[t-1]","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EQ_DP_INTERP_JST","1 if equity dividend interpolated or assumed zero to cover exchange closure","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EQ_DP_JST","Equity dividend yield. dp[t] = dividend[t]/p[t]","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EQ_TR_INTERP_JST","1 if equity total return interpolated to cover exchange closure","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EQ_TR_JST","Equity total return, nominal. r[t] = [[p[t] + d[t]] / p[t-1] ] - 1","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","EXPENDITURE_JST","Government expenditure (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","EXPORTS_JST","Exports (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","GDP_JST","GDP (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","HOUSING_CAPGAIN_IPOLATED_JST","1 if housing capital gains and total returns interpolated e.g. wartime","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","HOUSING_CAPGAIN_JST","Housing capital gain, nominal. cg[t] = [ p[t] / p[t-1] ] - 1","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","HOUSING_RENT_RTN_JST","Housing rental return. dp_rtn[t] = rent[t]/p[t-1]","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","HOUSING_RENT_YD_JST","Housing rental yield. dp[t] = rent[t]/p[t]","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","HOUSING_TR_JST","Housing total return, nominal. r[t] = [[p[t] + d[t]] / p[t-1] ] - 1","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","HPNOM_JST","House prices (nominal index, 1990=100)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","IMPORTS_JST","Imports (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","IY_JST","Investment-to-GDP ratio","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","LEV_JST","Banks, capital ratio (in %)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2021. 'Bank capital redux: solvency, liquidity, and crisis.')","Y"
"JST","LTD_JST","Banks, loans-to-deposits ratio (in %)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2021. 'Bank capital redux: solvency, liquidity, and crisis.')","Y"
"JST","LTRATE_JST","Long-term interest rate (nominal, percent per year)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","MONEY_JST","Broad money (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","NARROWM_JST","Narrow money (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","NONCORE_JST","Banks, noncore funding ratio (in %)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2021. 'Bank capital redux: solvency, liquidity, and crisis.')","Y"
"JST","PEG_BASE_JST","Peg base (GBR, USA, DEU, HYBRID, NA)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","PEG_JST","Peg dummy","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","PEG_STRICT_JST","Strict peg dummy","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","PEG_TYPE_JST","Peg type (BASE, PEG, FLOAT)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","POP_JST","Population","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","RCONSBARRO_JST","Real consumption per capita (index, 2006=100)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","RENT_IPOLATED_JST","1 if housing rental yields interpolated e.g. wartime","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","REVENUE_JST","Government revenues (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","RGDPBARRO_JST","Real GDP per capita (index, 2005=100)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","RISKY_TR_JST","Tot. rtn. on risky assets, nominal. Wtd. avg. of housing and equity","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","SAFE_TR_JST","Tot. rtn. on safe assets, nominal. Equally wtd. avg. of bonds and bills","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2019. 'The Rate of Return on Everything, 1870–2015')","Y"
"JST","STIR_JST","Short-term interest rate (nominal, percent per year)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","TBUS_JST","Total loans to business (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","THH_JST","Total loans to households (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","TLOANS_JST","Total loans to non-financial private sector (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","TMORT_JST","Mortgage loans to non-financial private sector (nominal, local currency)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","TRILEMMA_IV_JST","JST trilemma instrument (raw base rate changes)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","UNEMP_JST","Unemployment rate (percent)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","WAGE_JST","Wages (index, 1990= 100)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"JST","XRUSD_JST","USD exchange rate (local currency/USD)","JORDÀ-SCHULARICK-TAYLOR MACROHISTORY DATABASE (Jordà, et al., 2017. 'Macrofinancial History and the New Business Cycle Facts.')","Y"
"KOF","KOF_CUL_DF","Cultural Globalisation Index - (trade cultural goods, in personal services, inter. trademarks, McDonalds. IKEAs) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_CUL_DJ","Cultural Globalisation Index - (Gender parity, human capital, civil liberties) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_CUL_GI","Cultural Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_ECO_DF","Economic Globalisation Index - 50 x (Trade + Finance) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_ECO_DJ","Economic Globalisation Index - 50 x (Trade + Finance) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_ECO_GI","Economic Globalisation Index - 50 x (Trade + Finance) - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_FIN_DF","Financial Globalisation Index - (FDI, Portfolio, inter. debt, reserves, int. income payments) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_FIN_DJ","Financial Globalisation Index - (Invest. restrictions, CA openness, Invest. Agreements) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_FIN_GI","Financial Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_GI","Global Globalisation Index - 33.3 x (Eco + Social + Cultural) - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_GI_DF","Global Globalisation Index - 33.3 x (Eco + Social + Cultural) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_GI_DJ","Global Globalisation Index - 33.3 x (Eco + Social + Cultural) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_INF_DF","Informational Globalisation Index - (used internet bw, inter. patents, High-Tech exports) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_INF_DJ","Informational Globalisation Index - (TV access, Internet access, Press freedom) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_INF_GI","Informational Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_IPE_DF","Interpersonal Globalisation Index - (inter. voice traffic, transfers, tourism, students) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_IPE_DJ","Interpersonal Globalisation Index - (telephone subscriptions, freedom to visit, inter. airports, migration) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_IPE_GI","Interpersonal Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_POL_DF","Political Globalisation Index - (Embassies, UN peace mission, Inter. NGOs) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_POL_DJ","Political Globalisation Index - (Inter. organisations, inter treaties, treaty partner diversity) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_POL_GI","Political Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_SOC_DF","Social Globalisation Index - 33.3 x (Interpersonal, Informational, Cultural) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_SOC_DJ","Social Globalisation Index - 33.3 x (Interpersonal, Informational, Cultural) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_SOC_GI","Social Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_TRD_DF","Trade Globalisation Index - (Trade in goods, services, and trade partner diversity) - De facto -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_TRD_DJ","Trade Globalisation Index - (Trade regulations, taxes, tariffs, agreements) - De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"KOF","KOF_TRD_GI","Trade Globalisation Index - [see de jure and de facto] - De facto & De jure -  values between 0 and 100 - higher values indicate higher level of integration","Gygli, Haelg, Potrafke & Sturm (2019), 'The KOF Globalisation Index – Revisited', Review of International Organizations","Y"
"MP","GDP_PPP_PC_MP","Real GDP (PPP) per capita in 2011$","Maddison Project Database 2023","Y"
"MP","POP_MP","Population, mid-year (thousands)","Maddison Project Database 2023","Y"
"Quinn","CAP_QUINN","de jure indicator of capital account openness - score between 0 and 100 - Higher values indicate fewer government-imposed restrictions","Quinn and Toyoda (2008). ''Does Capital Account Liberalization Lead to Economic Growth?'' Review of Financial Studies.","Y"
"Quinn","CUR_QUINN","de jure indicator of current account openness - score between 0 and 100 - Higher values indicate fewer government-imposed restrictions","Quinn and Toyoda (2008). ''Does Capital Account Liberalization Lead to Economic Growth?'' Review of Financial Studies.","Y"
"WB","AG_AGR_TRAC_NO","Agricultural machinery, tractors","World Bank Indicators","Y"
"WB","AG_CON_FERT_ZS","Fertilizer consumption (kilograms per hectare of arable land)","World Bank Indicators","Y"
"WB","AG_LND_AGRI_K2","Agricultural land (sq. km)","World Bank Indicators","Y"
"WB","AG_LND_ARBL_HA","Arable land (hectares)","World Bank Indicators","Y"
"WB","AG_LND_ARBL_HA_PC","Arable land (hectares per person)","World Bank Indicators","Y"
"WB","AG_LND_CREL_HA","Land under cereal production (hectares)","World Bank Indicators","Y"
"WB","AG_LND_CROP_ZS","Permanent cropland (% of land area)","World Bank Indicators","Y"
"WB","AG_LND_FRST_K2","Forest area (sq. km)","World Bank Indicators","Y"
"WB","AG_LND_FRST_ZS","Forest area (% of land area)","World Bank Indicators","Y"
"WB","AG_LND_PRCP_MM","Average precipitation in depth (mm per year)","World Bank Indicators","Y"
"WB","AG_LND_TOTL_K2","Land area (sq. km)","World Bank Indicators","Y"
"WB","AG_LND_TRAC_ZS","Agricultural machinery, tractors per 100 sq. km of arable land","World Bank Indicators","Y"
"WB","AG_PRD_CREL_MT","Cereal production (metric tons)","World Bank Indicators","Y"
"WB","AG_PRD_CROP_XD","Crop production index (2014-2016 = 100)","World Bank Indicators","Y"
